property_name,start_date,end_date,summary,source
29-03 norte,2025-08-29,2026-06-02,9b48291b88f615f7e53d4047068a41ff,YourRentals
29-03 norte,2025-06-05,2025-06-08,eda5d1f3a024b03da170a2de4c28cd24,YourRentals
29-03 norte,2025-07-18,2025-07-21,a5202db826a6ebf676026e373d8f265f,YourRentals
29-03 norte,2025-07-28,2025-07-30,6be94fbe0b7ecb17e8340b8114d7ff3b,YourRentals
29-03 norte,2025-06-23,2025-06-28,43e83a1a4df12ce6b0139c353c0f3cac,YourRentals
29-03 norte,2025-05-30,2025-06-02,d2df708304126f34999aecea9421dd32,YourRentals
29-03 norte,2025-06-03,2025-06-05,8f70ab125a440524c753816cf215e162,YourRentals
29-03 norte,2025-06-13,2025-06-16,fb0a7ccd55912060bf9d41c245ad1e3b,YourRentals
29-03 norte,2025-06-19,2025-06-23,dd90d198b5c7fb31cb3dcc6727715d34,YourRentals
29-03 norte,2025-07-25,2025-07-27,1f965c559798f1314877e01a5d2c2144,YourRentals
29-03 norte,2025-09-13,2025-09-16,fcc8bfd7e7329fffe171fd8e9320987a,YourRentals
29-03 norte,2025-11-14,2025-11-17,1282f3d9cee0fffefb1499ad7c798fd7,YourRentals
29-03 norte,2025-12-05,2025-12-08,8da24baf0283a5fd86ec0f7a801d62bb,YourRentals
29-03 norte,2025-06-16,2025-06-19,j1lFBc8eJB,YourRentals
27-12 sur,2025-05-30,2025-06-01,Reserved,Airbnb
27-12 sur,2025-06-01,2025-06-06,Airbnb (Not available),Airbnb
27-12 sur,2025-06-09,2025-06-13,Airbnb (Not available),Airbnb
27-12 sur,2025-06-23,2025-06-26,Airbnb (Not available),Airbnb
27-12 sur,2025-07-18,2025-07-21,Airbnb (Not available),Airbnb
27-12 sur,2025-08-29,2026-06-02,Airbnb (Not available),Airbnb
26-05 sur,2025-05-30,2025-06-01,Reserved,Airbnb
26-05 sur,2025-06-02,2025-06-04,Reserved,Airbnb
26-05 sur,2025-07-08,2025-07-10,Reserved,Airbnb
26-05 sur,2025-08-16,2025-08-18,Reserved,Airbnb
26-05 sur,2025-09-09,2025-09-12,Reserved,Airbnb
26-05 sur,2025-10-26,2025-10-30,Reserved,Airbnb
26-05 sur,2025-11-16,2026-01-11,Airbnb (Not available),Airbnb
26-05 sur,2026-05-31,2026-06-02,Airbnb (Not available),Airbnb
26-05 sur,2025-07-23,2025-07-27,CLOSED - Not available,Booking
26-05 sur,2025-10-13,2025-10-18,CLOSED - Not available,Booking
26-05 sur,2026-01-11,2026-05-31,CLOSED - Not available,Booking
26-05 sur,2026-06-02,2026-12-01,CLOSED - Not available,Booking
17-06 sur,2025-06-03,2025-06-06,Reserved,Airbnb
17-06 sur,2025-06-06,2025-06-08,Airbnb (Not available),Airbnb
17-06 sur,2025-08-29,2026-06-02,Airbnb (Not available),Airbnb
17-07 sur,2025-06-01,2025-06-03,Airbnb (Not available),Airbnb
17-07 sur,2025-06-04,2025-06-06,Airbnb (Not available),Airbnb
17-07 sur,2025-08-29,2026-06-02,Airbnb (Not available),Airbnb
910 sur,2025-05-30,2025-06-02,Reserved,Airbnb
910 sur,2025-06-03,2025-06-06,Reserved,Airbnb
910 sur,2025-06-07,2025-06-09,Reserved,Airbnb
910 sur,2025-06-19,2025-06-22,Reserved,Airbnb
910 sur,2025-06-28,2025-07-01,Reserved,Airbnb
910 sur,2025-07-11,2025-07-15,Reserved,Airbnb
910 sur,2025-07-24,2025-07-27,Reserved,Airbnb
910 sur,2025-07-27,2025-08-01,Reserved,Airbnb
910 sur,2025-08-04,2025-08-08,Reserved,Airbnb
910 sur,2025-08-13,2025-08-16,Reserved,Airbnb
910 sur,2025-06-23,2025-06-26,Airbnb (Not available),Airbnb
910 sur,2025-07-18,2025-07-21,Airbnb (Not available),Airbnb
910 sur,2025-08-29,2026-06-02,Airbnb (Not available),Airbnb
11-09 sur,2025-05-29,2025-06-02,Reserved,Airbnb
11-09 sur,2025-06-02,2025-06-06,Reserved,Airbnb
11-09 sur,2025-06-06,2025-06-09,Reserved,Airbnb
11-09 sur,2025-06-11,2025-06-13,Reserved,Airbnb
11-09 sur,2025-07-22,2025-07-25,Reserved,Airbnb
11-09 sur,2025-06-30,2025-07-04,Airbnb (Not available),Airbnb
11-09 sur,2025-07-18,2025-07-21,Airbnb (Not available),Airbnb
11-09 sur,2025-11-27,2026-06-02,Airbnb (Not available),Airbnb
